charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
B;10;10;2;20;0.25;2030;1782389.544;4106.005829;47765.6569;1237357.23;-652.9051317;51216.30924;23798.55678;47155.21421;423515.1387;25035.85;13416.82015;3907.763639;10969.94022;9645.399235;0;229.0358385;520;18.64943228;0.981549067;20615.33945;72.8;ok
B;10;10;2;20;0.25;2031;1824818.673;4059.50966;50752.392;1267024.457;-787.2040384;41849.57211;27655.30598;35034.63074;454041.9109;29098.24;12397.6041;4832.564945;10864.8259;9569.486728;0;253.6332539;515;0.98172648;0.98172648;20434.31263;71.8;ok
B;10;10;2;20;0.25;2032;1765771.237;3918.883709;45877.29116;1216229.054;-1094.561699;52827.21334;23449.17531;57891.26288;416469.0927;23708.16;13332.26873;3826.465812;10363.1326;9127.99135;0;373.8441623;491;0.982578062;0.982578062;19491.12395;65.5;ok
B;10;10;2;20;0.25;2033;1819219.453;4067.615103;40519.42029;1254914.795;-932.9296645;27247.12045;23244.84143;79533.001;435212.6249;16256.77;15058.83241;2018.537993;10834.84188;9526.521114;0;203.8611556;513;18.65415146;0.981797445;20361.36299;63.2;ok
B;10;10;2;20;0.25;2034;1654439.955;4011.425679;42246.019;1127392.433;-1117.166136;56860.73103;34316.26051;51753.75933;385233.938;19281.22;14008.41867;2981.109602;10681.07304;9407.780727;0;237.1714709;506;0.982045823;0.982045823;20088.85376;64.6;ok
B;10;10;2;20;0.5;2027;2034224.155;5945.730778;53743.24987;938605.334;-1777.402584;325568.0144;24604.11147;389800.5016;357423.5956;36618.73;9769.254192;7815.315424;8728.746491;7689.708781;0;2858.129902;413;0.985345702;0.985345702;16418.45527;136.1;ok
B;10;10;2;20;0.5;2028;1979586.37;8164.315164;35088.90219;1210384.443;-1077.278379;80521.3136;20576.05678;234340.6668;434841.1684;10821.03;14640.67012;2864.30128;11285.66784;9939.822982;0;594.5800329;535;0.981016829;0.981016829;21225.49082;119;ok
B;10;10;2;20;0.5;2029;1659598.671;7191.507363;47895.61173;1042617.025;-950.284354;61789.6665;19428.02664;117273.8194;419440.4178;27009.05;12162.35025;5258.545143;10164.51847;8953.204318;0;1520.889625;482;0.982897405;0.982897405;19117.72278;84.4;ok
B;10;10;2;20;0.5;2030;1618963.289;7733.50451;47296.33836;1072912.345;-719.399231;47955.68772;22303.86614;48611.97022;427898.8196;25035.85;12915.88124;4413.173159;10969.03562;9644.606005;0;935.3304928;520;18.64943228;0.981549067;20613.64163;76.1;ok
B;10;10;2;20;0.5;2031;1639713.685;7444.096592;50249.22249;1082546.1;-837.6867885;40737.271;25979.17921;35220.13118;456068.6899;29098.24;11863.62786;5378.791793;10870.22087;9574.235858;0;1181.394236;515;0.98172648;0.98172648;20444.45673;81.9;ok
