charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
C;2;0;2;0;0.75;2036;537686.9055;31575.54394;42100.72525;537686.9055;0;0;0;0;0;39038.20984;3062.515417;302.2842533;0;0;0;1032.805812;0;0;1;0;83.3;ok
C;2;0;2;0;0.75;2037;219712.0659;13022.21758;17362.95678;219712.0659;0;0;0;0;0;14025.20831;3337.748465;10.22720662;0;0;0;24.84667155;0;0;1;0;83.5;ok
C;2;0;2;0;0.75;2038;389953.2329;29355.46463;39140.61951;389953.2329;0;0;0;0;0;36239.02575;2901.593757;429.6420359;0;0;0;2279.314715;0;0;1;0;83;ok
C;2;0;2;0;0.75;2039;155579.8828;10542.09935;14056.13246;155579.8828;0;0;0;0;0;10780.97754;3275.154921;39.42469298;0;0;0;177.0053628;0;0;1;0;83.6;ok
C;2;0;2;0;0.75;2040;309511.6168;22449.5445;29932.726;309511.6168;0;0;0;0;0;26845.29599;3087.430011;210.576705;0;0;0;924.0980391;0;0;1;0;82.6;ok
C;2;0;2;0;0.75;2041;346511.5906;21122.75775;28163.677;346511.5906;0;0;0;0;0;24952.13655;3211.540459;69.97622383;0;0;0;428.8497589;0;0;1;0;85.6;ok
C;2;0;2;0;0.75;2042;313222.8979;24148.94218;32198.58958;313222.8979;0;0;0;0;0;29013.1976;3185.391976;79.71712334;0;0;0;356.9921432;0;0;1;0;83.9;ok
C;2;0;2;0;0.75;2043;288870.6263;20015.59544;26687.46059;288870.6263;0;0;0;0;0;23567.44359;3120.017001;128.7665529;0;0;0;680.7097211;0;0;1;0;83.8;ok
C;2;0;2;0;0.75;2044;267850.2354;14512.8467;19350.46227;267850.2354;0;0;0;0;0;16189.26988;3161.192395;71.34724148;0;0;0;399.2305247;0;0;1;0;88.2;ok
C;2;0;2;0;1;2035;0;36290.30602;36290.30602;0;0;0;0;0;0;33193.75982;3096.546199;285.1620118;0;0;0;1282.22219;0;0;1;0;87.9;ok
C;2;0;2;0;1;2036;0;42100.72525;42100.72525;0;0;0;0;0;0;39038.20984;3062.515417;302.2842533;0;0;0;1377.074416;0;0;1;0;87.2;ok
C;2;0;2;0;1;2037;0;17362.95678;17362.95678;0;0;0;0;0;0;14025.20831;3337.748465;10.22720662;0;0;0;33.1288954;0;0;1;0;84.1;ok
C;2;0;2;0;1;2038;0;39140.61951;39140.61951;0;0;0;0;0;0;36239.02575;2901.593757;429.6420359;0;0;0;3039.086287;0;0;1;0;85;ok
C;2;0;2;0;1;2039;0;14056.13246;14056.13246;0;0;0;0;0;0;10780.97754;3275.154921;39.42469298;0;0;0;236.0071505;0;0;1;0;84.6;ok
C;2;0;2;0;1;2040;0;29932.726;29932.726;0;0;0;0;0;0;26845.29599;3087.430011;210.576705;0;0;0;1232.130719;0;0;1;0;83.7;ok
C;2;0;2;0;1;2041;0;28163.677;28163.677;0;0;0;0;0;0;24952.13655;3211.540459;69.97622383;0;0;0;571.7996786;0;0;1;0;84.6;ok
C;2;0;2;0;1;2042;0;32198.58958;32198.58958;0;0;0;0;0;0;29013.1976;3185.391976;79.71712334;0;0;0;475.9895242;0;0;1;0;84.8;ok
C;2;0;2;0;1;2043;0;26687.46059;26687.46059;0;0;0;0;0;0;23567.44359;3120.017001;128.7665529;0;0;0;907.6129615;0;0;1;0;84.4;ok
C;2;0;2;0;1;2044;0;19350.46227;19350.46227;0;0;0;0;0;0;16189.26988;3161.192395;71.34724148;0;0;0;532.3073663;0;0;1;0;85.5;ok
C;2;2;2;4;0;2035;1922763.76;0;34873.97095;1908002.127;143.7132028;7271.615604;7346.304096;0;0;31294.69531;2461.603632;122.7616329;1432.460346;1262.251419;635.1174005;0;338;0.197601379;0.988006894;2694.711766;99.5;ok
C;2;2;2;4;0;2036;2241655.768;0.050622719;41019.6586;2223548.142;148.957916;10067.92052;7890.747502;0;0;37406.52159;2503.30451;107.9557195;1448.691838;1276.534918;695.1523974;0;342;0.197572993;0.987864964;2725.226756;96.6;ok
C;2;2;2;4;0;2037;977098.0092;0;16596.58309;954534.6069;114.7680332;11201.66889;11246.9654;0;0;13135.15366;2198.480862;56.92488163;1686.876222;1486.137505;594.3062941;0;399;0.197168491;0.985842457;3173.013727;97.3;ok
C;2;2;2;4;0;2038;1647740.629;0.017558685;37912.2023;1625974.583;198.5300261;12522.24365;9045.272267;0;0;34326.71859;2463.622895;109.3008084;1510.604553;1331.01816;752.2924626;0;357;0.197466545;0.987332725;2841.622713;67.1;ok
C;2;2;2;4;0;2039;716740.5742;0;13305.44302;692935.7471;96.06805917;11345.09832;12363.66077;0;0;10013.75854;2049.089504;63.0759677;1702.71057;1500.07218;500.2964272;0;403;0.197140105;0.985700527;3202.78275;64.6;ok
C;2;2;2;4;0;2040;1332966.702;0;29176.96006;1308407.593;158.0112426;10160.96948;14240.12881;0;0;25577.74572;2366.94553;63.95793319;1654.497599;1457.642312;787.3943462;0;391;0.197225264;0.986126318;3112.139911;63;ok
C;2;2;2;4;0;2041;1486529.937;0;27407.55572;1460814.07;171.4210653;11226.36771;14318.07845;0;0;23731.39925;2293.732205;66.52358248;1853.321704;1632.609266;932.0608094;0;439;0.196884631;0.984423155;3485.93097;65.1;ok
C;2;2;2;4;0;2042;1348959.853;0.050894161;31241.45738;1320225.4;69.4738793;16131.31597;12533.66338;0;0;27642.55138;2291.344368;78.2612092;1784.664207;1572.191829;889.1606855;0;422;0.197005272;0.985026358;3356.856036;63.9;ok
C;2;2;2;4;0;2043;1242206.131;0;25830.98954;1222635.803;90.79604161;9852.589983;9626.942566;0;0;22245.74843;2266.597608;62.88185645;1720.828933;1516.014733;801.5248438;0;407;0.197111719;0.985558597;3236.843667;68;ok
C;2;2;2;4;0;2044;1154698.199;0.109534017;18786.17617;1137810.384;97.54882208;9162.757292;7627.508682;0;0;15330.43709;2134.807436;32.03062732;1686.021896;1485.386866;620.3203236;0;399;0.197168491;0.985842457;3171.408762;64.2;ok
C;2;2;2;4;0.25;2035;1400734.128;9245.178154;36236.68308;1386365.051;1.478202686;11664.98018;2702.618716;0;0;32797.95176;3017.22591;191.7430247;509.0948739;449.6905476;336.3555972;147.9538989;120;0.199148418;0.995742092;958.7854215;98.7;ok
C;2;2;2;4;0.25;2036;1629548.53;10719.43605;42053.15222;1616424.655;4.943423475;10646.80254;2472.128363;0;0;38647.30334;2968.721373;242.0149037;525.6641402;464.2678881;371.6007472;150.0138638;124;0.199120032;0.995600162;989.9320284;119.8;ok
C;2;2;2;4;0.25;2037;686707.1473;4309.159982;17336.01194;673228.8725;0;11240.33675;2237.938114;0;0;13988.14257;3225.354799;4.09515507;156.707698;139.5913239;38.18198088;39.86143602;37;0.199737429;0.998687145;296.2990219;108.2;ok
C;2;2;2;4;0.25;2038;1190053.484;10123.16223;39080.78144;1171545.709;0.0948;16548.91231;1958.768473;0;0;35772.71193;2693.452092;455.0263312;722.8974068;637.8348468;540.1400372;421.7642184;170;0.198793593;0.993967964;1360.732254;132.6;ok
C;2;2;2;4;0.25;2039;491632.8668;3512.954555;14018.2817;478568.0778;0;11090.92877;1973.860323;0;0;10697.79258;3149.903512;36.94380032;212.0518467;188.2938286;84.31954455;60.08034812;50;0.199645174;0.998225872;400.3456752;117.5;ok
C;2;2;2;4;0.25;2040;947586.6639;7630.940785;29896.72123;935737.5093;-6.41E-18;9779.915758;2069.238825;0;0;26548.49775;3010.497649;166.6017337;408.4468817;361.1204198;287.5395481;160.2733936;96;0.199318735;0.996593674;769.5673015;117.2;ok
C;2;2;2;4;0.25;2041;1060440.064;7087.033529;28119.46636;1047658.989;4.73596828;9524.877678;3251.461607;0;0;24801.22287;3093.581137;83.8661031;289.6549811;256.5846934;185.5855389;96.83564174;68;0.199517437;0.997587186;546.2396746;115.7;ok
C;2;2;2;4;0.25;2042;964187.4889;8092.409171;32147.05164;946571.915;3.08E-16;15657.2617;1958.312244;0;0;28846.95537;3077.524068;72.60475534;282.8553409;250.6008072;167.8750652;76.23560356;66;0.19953163;0.997658151;533.4561482;136.4;ok
C;2;2;2;4;0.25;2043;881947.4669;6782.465616;26650.76439;870750.3191;2.399844128;9539.703455;1655.044468;0;0;23358.69015;3005.119374;125.1914085;344.6930317;305.0139794;226.2202604;116.3027722;81;0.199425182;0.997125912;649.7070111;119.8;ok
C;2;2;2;4;0.25;2044;818802.0847;4894.516808;19322.22381;809535.2112;11.03213737;8176.590751;1079.250632;0;0;16059.37922;3037.232512;84.66777321;266.318661;236.0489714;155.6793107;76.17560117;62;0.199560016;0.997800081;502.3676324;116.4;ok
C;2;2;2;4;0.5;2035;920390.289;18314.53238;36292.84571;916826.3685;1.30E-12;3039.506695;524.4138039;0;0;32849.30388;3081.889812;206.1493877;414.064348;366.065176;320.3953365;471.7317207;97;0.199311638;0.996558191;780.129524;123.5;ok
C;2;2;2;4;0.5;2036;1078071.46;21233.69832;42119.65812;1074031.508;-3.74E-14;3599.094541;440.8578704;0;0;38702.68144;3010.336429;248.9717331;465.0892829;410.9671186;359.5977751;505.2015166;109;0.19922648;0.996132401;876.0564015;130.3;ok
C;2;2;2;4;0.5;2037;444618.0218;8680.27026;17366.67515;441492.2277;0;3125.794088;0;0;0;14006.52674;3331.277609;2.823738473;30.88891713;28.87079675;17.01459254;17.77257566;7;0.199950324;0.999751622;59.75971387;111.4;ok
C;2;2;2;4;0.5;2038;791074.065;19816.846;39140.28972;778145.7554;-1.54E-11;12455.69904;472.6105158;0;0;35831.31691;2749.67869;453.5367722;641.0446912;565.8078779;513.0243598;1273.006896;151;0.198928427;0.994642133;1206.852569;131.5;ok
C;2;2;2;4;0.5;2039;316344.1514;7046.898955;14063.03229;313035.3963;0;3242.21766;66.5375;0;0;10728.01972;3259.764913;33.38225778;84.15807752;75.74765789;62.72563375;99.17085223;19;0.199865166;0.999325831;159.9057354;116.2;ok
C;2;2;2;4;0.5;2040;621436.4991;15088.02456;29941.09317;619503.3346;0;1907.534508;25.63;0;0;26619.48695;3056.167844;190.9567755;300.5679796;266.1883717;249.6858831;494.4037936;70;0.199503244;0.997516221;566.7563513;118.9;ok
C;2;2;2;4;0.5;2041;692590.1099;14144.40146;28172.60182;692180.0184;0;410.0915103;0;0;0;24846.89315;3187.191542;65.69619102;155.4870224;138.5171294;126.858073;223.3368837;36;0.199744526;0.998722628;294.0041518;122.7;ok
C;2;2;2;4;0.5;2042;628373.2067;16158.33294;32203.83836;625899.6721;0;2380.924257;92.61025655;0;0;28905.91896;3161.684085;68.52653765;154.2676662;137.4440959;119.3691897;178.9566093;36;0.199744526;0.998722628;291.7117622;137.9;ok
C;2;2;2;4;0.5;2043;578710.7437;13444.39576;26692.49347;576324.7644;0;2224.386754;161.5925;0;0;23394.66838;3087.912532;114.2344976;238.0386488;211.1625606;191.4021246;353.141014;56;0.199602595;0.998012976;449.2012093;123.7;ok
C;2;2;2;4;0.5;2044;535193.8103;9736.975838;19346.72526;532998.3689;0;2179.511414;15.93;0;0;16071.77891;3130.762178;72.60708539;162.2109368;144.4341741;133.0405644;204.4089802;38;0.199730333;0.998651663;306.6451109;118;ok
C;2;2;2;4;0.75;2035;462003.6431;27304.82079;36306.01403;459955.3556;8.46E-09;1725.41846;322.8690713;0;0;32828.94196;3108.501777;191.8739022;419.6657443;370.9944113;338.333212;874.5753714;99;0.199297445;0.996487226;790.6601557;121;ok
