charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
A;2;0;2;0;0.75;2030;28643.62036;2478.685542;28340.76406;28643.62036;0;0;0;0;0;25035.85;3304.914057;162.6199446;0;0;0;121.9649585;0;0;1;0;32.7;ok
A;2;0;2;0;0.75;2031;34699.4191;2455.984391;32372.88585;34699.4191;0;0;0;0;0;29098.24;3274.645854;175.5504767;0;0;0;131.6628576;0;0;1;0;34.5;ok
A;2;0;2;0;0.75;2032;27546.1808;2360.532382;26855.53651;27546.1808;0;0;0;0;0;23708.16;3147.37651;285.5688397;0;0;0;214.1766295;0;0;1;0;34.9;ok
A;2;0;2;0;0.75;2033;28031.87604;2451.730128;19525.7435;28031.87604;0;0;0;0;0;16256.77;3268.973504;146.8071192;0;0;0;110.1053392;0;0;1;0;35.1;ok
A;2;0;2;0;0.75;2034;24496.07971;2416.695816;22503.48109;24496.07971;0;0;0;0;0;19281.22;3222.261088;176.440632;0;0;0;132.3304736;0;0;1;0;36.7;ok
A;2;0;2;0;1;2027;0;2660.761495;39279.49149;0;0;0;0;0;0;36618.73;2660.761495;859.3100139;0;0;0;859.3100139;0;0;1;0;32.4;ok
A;2;0;2;0;1;2028;0;3420.135611;14241.16561;0;0;0;0;0;0;10821.03;3420.135611;82.33553969;0;0;0;82.33553969;0;0;1;0;34.8;ok
A;2;0;2;0;1;2029;0;3088.046752;30097.09675;0;0;0;0;0;0;27009.05;3088.046752;396.9120428;0;0;0;396.9120428;0;0;1;0;36.2;ok
A;2;0;2;0;1;2030;0;3304.914057;28340.76406;0;0;0;0;0;0;25035.85;3304.914057;162.6199446;0;0;0;162.6199446;0;0;1;0;35.4;ok
A;2;0;2;0;1;2031;0;3274.645854;32372.88585;0;0;0;0;0;0;29098.24;3274.645854;175.5504767;0;0;0;175.5504767;0;0;1;0;32.3;ok
A;2;0;2;0;1;2032;0;3147.37651;26855.53651;0;0;0;0;0;0;23708.16;3147.37651;285.5688397;0;0;0;285.5688395;0;0;1;0;33.9;ok
A;2;0;2;0;1;2033;0;3268.973504;19525.7435;0;0;0;0;0;0;16256.77;3268.973504;146.8071192;0;0;0;146.8071192;0;0;1;0;35.6;ok
A;2;0;2;0;1;2034;0;3222.261088;22503.48109;0;0;0;0;0;0;19281.22;3222.261088;176.440632;0;0;0;176.4406318;0;0;1;0;32.3;ok
A;2;2;2;4;0;2027;296606.7955;0;38918.94501;156554.7895;26.11704956;126040.6617;13985.22724;0;0;36618.73;1663.138108;892.3214502;964.61195;850.5447983;0;0;227;0.198389092;0.991945458;1815.156748;40.5;ok
A;2;2;2;4;0;2028;251041.5423;0;13815.21519;197152.6724;52.35650145;44808.24486;9028.268513;0;0;10821.03;1995.014692;175.0778504;1332.378608;1174.179306;0;0;315;0.197764599;0.988822993;2506.557915;38.5;ok
A;2;2;2;4;0;2029;220443.7793;0.065;29797.36356;188272.7916;155.1896824;24087.5803;7928.217742;0;0;27009.05;1758.09641;413.8084869;1313.053898;1157.17312;0;0;310;0.197800081;0.989000406;2470.227018;38.1;ok
A;2;2;2;4;0;2030;225463.8335;0;27979.40318;202801.035;322.2223074;14290.99107;8049.585139;0;0;25035.85;1806.647026;198.9992026;1461.887773;1284.813312;0;0;345;3.75348236;0.987758516;2746.701085;39.4;ok
A;2;2;2;4;0;2031;241119.8015;0.051117701;32060.58988;221102.3966;97.30911037;9978.655313;9941.440566;0;0;29098.24;1842.281433;178.0444626;1429.870435;1259.973824;0;0;338;0.197601379;0.988006894;2689.844259;38.5;ok
A;2;2;2;4;0;2032;213817.3095;0;26518.60896;191641.3868;165.0553989;12506.35775;9504.509615;0;0;23708.16;1727.712607;312.8619824;1392.37076;1226.974459;0;0;329;0.197665247;0.988326237;2619.34522;38.1;ok
A;2;2;2;4;0;2033;209119.5031;0;19200.73436;191602.3793;40.51507676;9542.388018;7934.220703;0;0;16256.77;1769.748125;159.8402231;1486.192274;1306.202478;0;0;351;3.752673358;0.98754562;2792.394753;38.6;ok
