charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
D;0;0;2;0;0.75;2040;286914.9483;20256.7875;27009.05;286914.9483;0;0;0;0;0;27009.05;0;0;0;0;0;643.35;0;0;1;0;33.8;ok
D;0;0;2;0;0.75;2041;324833.6907;18776.8875;25035.85;324833.6907;0;0;0;0;0;25035.85;0;0;0;0;0;313.5825;0;0;1;0;33.5;ok
D;0;0;2;0;0.75;2042;292413.8644;21823.68;29098.24;292413.8644;0;0;0;0;0;29098.24;0;0;0;0;0;233.4225;0;0;1;0;32.5;ok
D;0;0;2;0;0.75;2043;270323.5511;17781.12;23708.16;270323.5511;0;0;0;0;0;23708.16;0;0;0;0;0;478.5975;0;0;1;0;32.8;ok
D;0;0;2;0;0.75;2044;246998.6579;12192.5775;16256.77;246998.6579;0;0;0;0;0;16256.77;0;0;0;0;0;295.095;0;0;1;0;34.8;ok
D;0;0;2;0;1;2035;0;33433.95;33433.95;0;0;0;0;0;0;33433.95;0;0;0;0;0;756.87;0;0;1;0;32.9;ok
D;0;0;2;0;1;2036;0;39314.49;39314.49;0;0;0;0;0;0;39314.49;0;0;0;0;0;798.51;0;0;1;0;31;ok
D;0;0;2;0;1;2037;0;14029.07;14029.07;0;0;0;0;0;0;14029.07;0;0;0;0;0;19.04;0;0;1;0;32.8;ok
D;0;0;2;0;1;2038;0;36618.73;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;2229.74;0;0;1;0;32.4;ok
D;0;0;2;0;1;2039;0;10819;10819;0;0;0;0;0;0;10819;0;0;0;0;0;158.56;0;0;1;0;32.3;ok
D;0;0;2;0;1;2040;0;27009.05;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;857.8;0;0;1;0;32.9;ok
D;0;0;2;0;1;2041;0;25035.85;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;418.11;0;0;1;0;36.6;ok
D;0;0;2;0;1;2042;0;29098.24;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;311.23;0;0;1;0;32.6;ok
D;0;0;2;0;1;2043;0;23708.16;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;638.13;0;0;1;0;32.5;ok
D;0;0;2;0;1;2044;0;16256.77;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;393.46;0;0;1;0;32;ok
D;0;2;2;4;0;2035;1995443.818;1.387065963;33881.37851;1900719.221;-222.9297723;6827.175712;3997.286071;5523.464691;78599.59999;32056.52084;0;0;2182.720671;1922.48143;37.52920698;0;517;0.196331103;0.981655515;4105.202101;45.9;ok
D;0;2;2;4;0;2036;2299737.477;1.860411901;40123.35771;2220857.252;-410.561866;5634.253657;3386.943508;9564.700459;60704.88924;38310.30401;0;0;2124.465976;1871.216088;47.03271495;0;503;0.196430454;0.982152271;3995.682065;44.2;ok
D;0;2;2;4;0;2037;1065867.478;0.39497427;15627.09047;953663.4558;-247.0772218;5110.19256;4324.745685;18421.73055;84594.43088;13661.89963;0;0;2306.71258;2031.595693;4.127029763;0;547;0.196118208;0.980591038;4338.308273;48.9;ok
D;0;2;2;4;0;2038;1716733.566;5.610888104;37112.6188;1623499.317;-144.9571885;9678.929913;5147.341404;10534.06925;68018.86493;35316.92613;0;0;2188.191976;1927.293708;92.43569776;0;519;0.19631691;0.98158455;4115.485684;48;ok
D;0;2;2;4;0;2039;782703.1793;0.023186056;12411.2884;694506.5599;-280.1284833;8806.674819;6020.182515;6090.243349;67559.64721;10506.86137;0;0;2279.317874;2007.483342;12.61310992;0;541;0.196160787;0.980803933;4286.801217;58.2;ok
D;0;2;2;4;0;2040;1405360.264;2.265837504;28329.60695;1303948.622;-285.9896713;6213.704911;6111.819645;14606.30513;74765.8023;26439.88025;0;0;2268.469116;1997.937523;27.75936012;0;538;0.196182076;0.980910381;4266.406639;48.3;ok
D;0;2;2;4;0;2041;1546164.182;8.98E-13;26529.92063;1456558.076;-165.787632;6205.389011;6225.258236;10128.69208;67212.55394;24664.47321;0;0;2224.769861;1959.484809;46.46923766;0;527;0.196260138;0.981300689;4184.25467;46.1;ok
D;0;2;2;4;0;2042;1398819.712;1.19096519;30391.51344;1312349.33;-281.4746912;11300.09118;5493.729812;11284.20263;58673.83248;28520.12788;0;0;2254.657955;1985.783927;30.73725078;0;535;0.196203366;0.981016829;4240.441882;50.9;ok
D;0;2;2;4;0;2043;1286178.828;1.733499103;24970.38495;1213968.99;-195.9782635;7396.506108;4269.648124;5863.088009;54876.57413;23173.1966;0;0;2134.644956;1880.173428;25.66662527;0;506;0.196409165;0.982045823;4014.818385;47.3;ok
D;0;2;2;4;0;2044;1216908.946;0.01481157;17862.89599;1131536.65;-166.0308154;6488.781729;4059.477152;10629.62178;64360.44652;15996.28599;0;0;2207.988265;1944.718159;24.13685304;0;523;0.196288524;0.98144262;4152.706424;50.3;ok
D;0;2;2;4;0.25;2035;1567648.101;8509.693118;35047.97151;1461019.655;-204.3186812;7322.999745;4119.246116;5769.428411;89621.09065;33085.76793;0;0;2293.168283;2019.673052;15.39999024;38.01188154;544;0.196139497;0.980697486;4312.841335;65.2;ok
D;0;2;2;4;0.25;2036;1797954.902;9980.348007;40919.84912;1692639.781;-196.2753628;6913.375405;4290.119126;10988.80423;83319.09786;38953.75432;0;0;2301.904455;2027.360718;27.14812267;47.90199281;546;0.196125304;0.980626521;4329.265173;60.6;ok
D;0;2;2;4;0.25;2037;872027.4838;3509.94319;15969.7193;759974.6453;-246.8884992;5118.664723;4165.618599;18470.9397;84544.50394;14004.68821;0;0;2306.713207;2031.595066;2.987549626;2.084309409;547;0.196118208;0.980591038;4338.308273;58.3;ok
D;0;2;2;4;0.25;2038;1340578.23;9493.434685;38059.99758;1236381.757;-192.8248383;9713.432143;4461.67038;12100.17474;78114.02066;36100.06527;0;0;2303.945438;2029.156071;63.77636676;218.6828149;546;0.196125304;0.980626521;4333.101509;70.1;ok
D;0;2;2;4;0.25;2039;650975.7628;2732.146448;12698.0986;556953.1174;-250.4092471;9075.934991;5888.327899;7139.449436;72169.34229;10768.68176;0;0;2306.713911;2031.594362;2.868480812;12.24355217;547;0.196118208;0.980591038;4338.308273;56.3;ok
D;0;2;2;4;0.25;2040;1113871.661;6910.72273;28720.84675;1012841.415;-255.9628085;5897.740866;5209.369927;14221.23994;75957.85828;26759.23964;0;0;2306.416421;2031.333761;32.88445419;57.12044109;547;0.196118208;0.980591038;4337.750183;64.5;ok
D;0;2;2;4;0.25;2041;1223883.398;6334.516093;26855.08371;1128274.089;-217.0631728;6619.18988;5844.402618;10374.71077;72988.06924;24915.86211;0;0;2306.828379;2030.146332;14.32701853;28.97390657;547;1.848189199;0.980591038;4336.974711;51.3;ok
